Model,RMSE,MAE,R²,MAPE (%),Train Time (s),Has UQ,CI Coverage (%),CI Width,NLPD,Dataset
GP,0.005477731886628032,0.004591500208930552,0.9882843191955997,11.09652236466757,164.8853681087494,✓,98.55072463768117,0.023933678486740075,-3.773902740896549,Above 50%
Ensemble,0.005536218295831229,0.004585360187045629,0.988032804101041,9.768059820965663,18.91133403778076,✓,98.55072463768117,0.0243157383666173,-3.756824919540857,Above 50%
MLP,0.0055544120149221875,0.004481174635227526,0.9879540190715652,9.201335905155037,0.2539863586425781,✓,,,,Above 50%
DKL,0.005770001008865889,0.00458175487967505,0.987000765866158,8.62362373319436,16.517417669296265,✓,100.0,0.07735396651780276,-2.963770052938308,Above 50%
XGBoost,0.005897573336938494,0.004884638114953818,0.9864195960563099,10.71445494577152,0.14666461944580078,✓,,,,Above 50%
MoE,0.005924368940330605,0.004767304680813605,0.9862959106775187,10.184833874178095,2.028851270675659,✓,97.10144927536231,0.025711415874417137,-3.667407744243757,Above 50%
DKL,0.010811706534342257,0.008761193538705506,0.9565035751570359,4.2098582944574146,13.616889953613281,✓,100.0,0.09756956028740521,-2.680344383278218,Below 50%
Ensemble,0.010973408145411274,0.008909122129943521,0.9551927666197293,4.3155672136889205,19.100759267807007,✓,100.0,0.0494633014113006,-3.0778523347606552,Below 50%
XGBoost,0.011592416304905208,0.009614362314343452,0.9499950494627047,4.591808314348414,0.07107090950012207,✓,,,,Below 50%
MLP,0.012926087036533028,0.009853272079429315,0.9378273733533415,4.556304767910213,0.3887033462524414,✓,,,,Below 50%
GP,0.013447681177059087,0.010577954214664483,0.9327085522355967,4.772379779834378,140.94115781784058,✓,95.83333333333334,0.04682561973269713,-2.910422757680397,Below 50%
MoE,0.017288043207899166,0.014074173349748116,0.8887866961848672,6.846608049791571,0.34346437454223633,✓,100.0,0.13293741729364006,-2.353755143018528,Below 50%
